"year","month","tide.level.mm"
1975,5,6850
1975,6,6839
1975,7,6875
1975,8,6823
1975,9,NA
1975,10,6877
1975,11,6988
1975,12,7028
1976,1,6991
1976,2,6987
1976,3,6929
1976,4,6903
1976,5,6757
1976,6,6747
1976,7,6772
1976,8,6806
1976,9,6813
1976,10,6849
1976,11,6951
1976,12,7007
1977,1,7010
1977,2,6944
1977,3,6942
1977,4,6970
1977,5,6912
1977,6,6896
1977,7,6812
1977,8,6814
1977,9,6806
1977,10,6973
1977,11,6991
1977,12,6924
1978,1,6944
1978,2,6946
1978,3,6961
1978,4,6916
1978,5,6840
1978,6,6910
1978,7,6786
1978,8,6835
1978,9,6746
1978,10,6806
1978,11,NA
1978,12,NA
1979,1,6970
1979,2,6975
1979,3,6940
1979,4,NA
1979,5,NA
1979,6,NA
1979,7,NA
1979,8,6805
1979,9,6791
1979,10,6891
1979,11,7025
1979,12,7054
1980,1,7007
1980,2,6932
1980,3,6961
1980,4,6901
1980,5,6890
1980,6,6923
1980,7,6900
1980,8,6810
1980,9,6784
1980,10,6887
1980,11,7006
1980,12,7021
1981,1,7015
1981,2,7029
1981,3,6999
1981,4,6891
1981,5,6878
1981,6,6923
1981,7,6844
1981,8,6890
1981,9,6883
1981,10,6938
1981,11,7034
1981,12,7079
1982,1,7020
1982,2,6951
1982,3,6938
1982,4,6918
1982,5,6941
1982,6,6867
1982,7,6817
1982,8,6858
1982,9,6758
1982,10,6877
1982,11,6922
1982,12,6918
1983,1,6913
1983,2,6905
1983,3,6913
1983,4,6897
1983,5,6861
1983,6,6818
1983,7,6833
1983,8,6867
1983,9,6879
1983,10,6816
1983,11,6956
1983,12,7031
1984,1,7027
1984,2,7017
1984,3,7014
1984,4,6959
1984,5,6861
1984,6,6914
1984,7,6877
1984,8,6773
1984,9,6778
1984,10,6838
1984,11,6992
1984,12,6955
1985,1,7011
1985,2,7002
1985,3,6997
1985,4,6897
1985,5,6848
1985,6,6871
1985,7,6848
1985,8,6781
1985,9,6799
1985,10,6870
1985,11,6994
1985,12,7008
1986,1,6934
1986,2,6922
1986,3,6931
1986,4,6888
1986,5,6776
1986,6,6838
1986,7,6741
1986,8,6810
1986,9,6738
1986,10,6807
1986,11,6891
1986,12,7000
1987,1,6907
1987,2,6896
1987,3,6879
1987,4,6848
1987,5,6857
1987,6,6820
1987,7,6796
1987,8,6831
1987,9,6836
1987,10,6947
1987,11,6947
1987,12,7033
1988,1,7018
1988,2,6991
1988,3,6928
1988,4,6934
1988,5,6826
1988,6,6944
1988,7,6863
1988,8,6854
1988,9,6949
1988,10,6870
1988,11,6970
1988,12,7080
1989,1,7068
1989,2,6975
1989,3,6957
1989,4,6913
1989,5,6788
1989,6,6884
1989,7,6806
1989,8,6824
1989,9,6755
1989,10,6836
1989,11,6969
1989,12,7018
1990,1,6973
1990,2,6974
1990,3,6919
1990,4,6872
1990,5,6877
1990,6,6864
1990,7,6817
1990,8,NA
1990,9,6805
1990,10,6910
1990,11,6975
1990,12,7050
1991,1,7034
1991,2,6979
1991,3,7006
1991,4,6964
1991,5,6962
1991,6,6922
1991,7,6917
1991,8,6844
1991,9,6822
1991,10,6918
1991,11,7016
1991,12,NA
1992,1,NA
1992,2,NA
1992,3,NA
1992,4,NA
1992,5,NA
1992,6,6900
1992,7,6886
1992,8,6805
1992,9,6843
1992,10,6954
1992,11,7036
1992,12,7056
1993,1,7001
1993,2,6941
1993,3,6938
1993,4,6923
1993,5,6864
1993,6,6902
1993,7,6852
1993,8,6782
1993,9,6852
1993,10,6927
1993,11,NA
1993,12,7024
1994,1,NA
1994,2,7083
1994,3,6964
1994,4,6951
1994,5,6828
1994,6,6844
1994,7,6878
1994,8,6862
1994,9,6866
1994,10,7016
1994,11,6987
1994,12,6948
1995,1,6991
1995,2,7004
1995,3,7013
1995,4,7006
1995,5,6909
1995,6,6873
1995,7,6881
1995,8,6845
1995,9,6885
1995,10,6875
1995,11,NA
1995,12,7057
1996,1,7053
1996,2,7015
1996,3,6970
1996,4,6917
1996,5,6840
1996,6,6840
1996,7,6835
1996,8,6840
1996,9,6896
1996,10,6944
1996,11,6999
1996,12,7057
1997,1,7025
1997,2,6968
1997,3,6965
1997,4,6958
1997,5,6896
1997,6,6952
1997,7,NA
1997,8,6825
1997,9,6870
1997,10,7019
1997,11,7087
1997,12,6997
1998,1,6929
1998,2,6973
1998,3,6965
1998,4,6963
1998,5,NA
1998,6,NA
1998,7,NA
1998,8,6923
1998,9,6947
1998,10,NA
1998,11,NA
1998,12,NA
1999,1,NA
1999,2,7114
1999,3,7040
1999,4,NA
1999,5,6913
1999,6,6921
1999,7,6843
1999,8,6808
1999,9,6804
1999,10,6945
1999,11,6940
1999,12,7082
2000,1,7125
2000,2,7024
2000,3,6974
2000,4,6928
2000,5,6882
2000,6,6844
2000,7,6802
2000,8,6884
2000,9,6933
2000,10,6962
2000,11,7056
2000,12,7024
2001,1,7047
2001,2,7026
2001,3,6945
2001,4,6977
2001,5,6895
2001,6,6915
2001,7,NA
2001,8,6821
2001,9,6909
2001,10,6922
2001,11,7040
2001,12,7048
2002,1,NA
2002,2,NA
2002,3,7048
2002,4,6967
2002,5,6833
2002,6,6900
2002,7,6818
2002,8,6886
2002,9,NA
2002,10,6947
2002,11,NA
2002,12,NA
2003,1,6871
2003,2,6993
2003,3,7001
2003,4,6900
2003,5,6813
2003,6,6939
2003,7,6884
2003,8,6830
2003,9,6840
2003,10,6937
2003,11,7067
2003,12,7060
2004,1,7103
2004,2,6995
2004,3,6968
2004,4,6936
2004,5,6991
2004,6,7021
2004,7,6897
2004,8,6879
2004,9,6820
2004,10,NA
2004,11,NA
2004,12,7038
2005,1,NA
2005,2,7022
2005,3,7002
2005,4,6977
2005,5,6915
2005,6,NA
2005,7,NA
2005,8,6887
2005,9,6915
2005,10,6920
2005,11,7021
2005,12,7095
2006,1,7139
2006,2,7076
2006,3,7015
2006,4,6933
2006,5,6934
2006,6,6958
2006,7,6870
2006,8,6882
2006,9,6917
2006,10,7003
2006,11,7087
2006,12,6996
2007,1,6994
2007,2,6994
2007,3,6983
2007,4,7015
2007,5,6952
2007,6,6939
2007,7,6930
2007,8,6934
2007,9,6985
2007,10,6987
2007,11,7089
2007,12,7114
2008,1,NA
2008,2,NA
2008,3,NA
2008,4,NA
2008,5,NA
2008,6,NA
2008,7,NA
2008,8,NA
2008,9,NA
2008,10,NA
2008,11,NA
2008,12,NA
2009,1,NA
2009,2,NA
2009,3,NA
2009,4,NA
2009,5,NA
2009,6,NA
2009,7,NA
2009,8,NA
2009,9,NA
2009,10,NA
2009,11,NA
2009,12,NA
2010,1,NA
2010,2,NA
2010,3,NA
2010,4,NA
2010,5,NA
2010,6,NA
2010,7,NA
2010,8,NA
2010,9,NA
2010,10,NA
2010,11,NA
2010,12,NA
2011,1,7070
2011,2,7060
2011,3,7062
2011,4,6982
2011,5,6895
2011,6,6915
2011,7,6889
2011,8,6918
2011,9,6924
2011,10,NA
2011,11,NA
2011,12,NA
2012,1,NA
2012,2,NA
2012,3,6965
2012,4,7009
2012,5,6904
2012,6,6860
2012,7,6850
2012,8,6855
2012,9,6920
2012,10,6953
2012,11,7003
2012,12,7030
2013,1,7006
2013,2,7040
2013,3,7053
2013,4,6915
2013,5,6887
2013,6,6985
2013,7,6972
2013,8,6877
2013,9,6932
2013,10,6963
2013,11,7108
2013,12,7091
