"Year","Month","SAL.1","SAL.2","SAL.3","SAL.4","SAL.5","SAL.6","SAL.7","SAL.8","SAL.9","SAL.10","SAL.11","SAL.12","SAL.13","SAL.14"
2012,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,5,NA,NA,34.0655174255371,31.4201329549154,29.1266174316406,NA,NA,34.0655174255371,32.953408241272,30.0435991287231,NA,31.4223327636719,32.3458366394043,NA
2015,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,7,NA,NA,34.1053886413574,33.2059275309245,32.4231977462769,NA,NA,34.1053886413574,33.7219352722168,32.4511122703552,34.9477806091309,33.2235679626465,33.7052179972331,33.7095184326172
2015,8,NA,NA,32.971305847168,31.5155404408773,29.8711996078491,NA,NA,32.971305847168,32.6818097432454,30.3027806282043,33.8694038391113,31.7783122062683,32.8360818227132,32.7404136657715
2015,9,NA,NA,34.0848693847656,33.5250701904297,32.756275177002,NA,NA,34.0848693847656,33.1874389648438,32.3547601699829,32.9345893859863,32.5282115936279,33.2727483113607,NA
2015,10,NA,NA,31.8740272521973,31.1089769999186,29.1702375411987,NA,NA,31.8740272521973,32.675656636556,30.7664771080017,33.5901374816895,32.9831876754761,33.8696416219076,32.9027557373047
2015,11,NA,NA,29.9922828674316,31.0563354492188,NA,NA,NA,29.9922828674316,32.485226949056,32.7562065124512,35.3430099487305,33.9942760467529,35.2323455810547,NA
2015,12,NA,NA,33.6596755981445,32.4550984700521,31.3174123764038,NA,NA,33.6596755981445,32.4680856068929,31.3817653656006,31.8657684326172,31.5486707687378,32.4639644622803,NA
2016,1,NA,NA,NA,31.4021511077881,31.3409795761108,NA,NA,NA,32.1059169769287,31.3031778335571,32.4932594299316,31.8354840278625,32.4055919647217,NA
2016,2,NA,NA,NA,30.6352224349976,30.3292036056519,NA,NA,NA,31.2004528045654,30.9438009262085,31.4189052581787,32.0228586196899,32.4873189926147,NA
2016,3,NA,NA,NA,29.4464273452759,30.0275201797485,NA,NA,NA,30.0095520019531,30.4314632415771,NA,31.6151205698649,33.1745491027832,NA
2016,4,NA,NA,NA,31.3400592803955,30.3373680114746,NA,NA,NA,33.346827507019,31.5787817637126,35.3535957336426,33.5277915000916,34.8560943603516,NA
2016,5,NA,NA,NA,34.7688236236572,33.5051126480103,NA,NA,NA,34.4717330932617,33.7591128349304,NA,33.7675615946452,33.0238819122314,NA
2016,6,NA,NA,NA,27.1541976928711,25.8837718963623,NA,NA,NA,28.4246234893799,29.0438283284505,NA,31.562889734904,34.0623970031738,NA
2016,7,NA,NA,NA,30.6191234588623,30.4342842102051,NA,NA,NA,31.257830619812,31.0556769371033,31.2760887145996,31.8280491828918,32.6378033955892,NA
2016,8,NA,NA,NA,30.4601163864136,30.1246356964111,NA,NA,NA,32.5929698944092,30.4503121376038,34.3650207519531,31.8629894256592,33.2593847910563,NA
2016,9,NA,NA,NA,31.4942245483398,30.7980480194092,NA,NA,NA,30.7162933349609,31.2484531402588,30.3079376220703,31.302695274353,31.7956517537435,NA
2016,10,NA,NA,NA,33.4198427200317,34.7776222229004,NA,NA,NA,33.2501173019409,33.6236367225647,34.6222686767578,33.5761351585388,33.946097056071,NA
2016,11,NA,NA,NA,33.100396156311,32.2807550430298,NA,NA,NA,34.2726421356201,33.0623526573181,34.3133773803711,34.2185163497925,35.0009803771973,NA
2016,12,NA,NA,NA,30.2770862579346,30.0136775970459,NA,NA,NA,NA,30.2494684855143,NA,31.0214128494263,31.4425382614136,NA
2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3916149139404,NA,31.1544952392578,30.9173755645752,NA
2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0490531921387,NA,32.4859981536865,33.9229431152344,NA
2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.250904083252,NA,33.109790802002,33.968677520752,NA
2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9513626098633,NA,30.6862840652466,31.4212055206299,NA
2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1636772155762,33.1636772155762,NA
2017,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
